transaction_id,transaction_date,description,amount,currency,reference,transaction_type
B0054,2026-06-29,"LEE, AYALA leverage dynamic niches",10879.11,USD,EC893965,DEBIT
B0055,2026-07-10,PETERSON-J maximize visionary architectures,1863.94,USD,61EA6629,DEBIT
B0056,2026-06-26,RODRIGUEZ- implement viral paradigms,856.52,USD,1C769A32,DEBIT
B0057,2026-07-29,EDWARDS-CA mesh scalable schemas,2767.11,USD,2DD79EAA,DEBIT
B0058,2026-08-20,CONLEY-COC engage out-of-the-box users,10585.94,USD,6268C66F,DEBIT
B0059,2026-07-08,"ANDERSON,  re-intermediate scalable deliverables",9689.0,USD,3B88C774,DEBIT
B0060,2026-07-10,JONES AND  integrate back-end bandwidth,10359.78,USD,68395584,DEBIT
B0061,2026-07-16,"CARROLL, J embrace cross-platform e-commerce",12189.08,USD,66E15469,DEBIT
B0062,2026-07-02,CHAVEZ-WIL engineer best-of-breed content,10948.89,USD,C909820F,DEBIT
B0063,2026-07-09,ALVAREZ-BU harness customized action-items,1797.59,USD,BF7E4F19,DEBIT
B0064,2026-08-18,CONLEY-COC integrate extensible metrics,4480.46,USD,411F4B46,DEBIT
B0065,2026-08-12,"CARROLL, J mesh bleeding-edge channels",10479.07,USD,04814FF3,DEBIT
B0066,2026-07-05,CHAVEZ-WIL optimize intuitive paradigms,5810.67,USD,FB291AD8,DEBIT
B0067,2026-07-22,"WALKER, JA enable synergistic convergence",7835.3,USD,08EB7D53,DEBIT
B0068,2026-07-19,FOLEY-HERN leverage killer applications,13943.83,USD,AE11F4BA,DEBIT
B0069,2026-08-16,CALDERON I brand revolutionary architectures,6925.23,USD,C38CBCE9,DEBIT
B0070,2026-08-13,LAM AND SO scale enterprise e-commerce,10101.01,USD,EAF79A13,DEBIT
B0071,2026-07-12,MCNEIL AND morph collaborative functionalities,3319.33,USD,9A6B2A7F,DEBIT
B0072,2026-07-07,"ANDERSON,  aggregate impactful vortals",11751.03,USD,F6603A61,DEBIT
B0073,2026-08-15,"CARROLL, J synthesize collaborative platforms",5715.37,USD,B1A4B657,DEBIT
B0074,2026-08-12,MATA PLC strategize holistic relationships,12201.79,USD,346A2570,DEBIT
B0075,2026-07-25,GARCIA AND seize open-source experiences,11534.94,USD,DE7AE933,DEBIT
B0076,2026-07-05,DANIELS-CA seize turn-key experiences,12868.49,USD,2ED405B4,DEBIT
B0077,2026-08-13,MATA PLC utilize customized solutions,4337.38,USD,82A34C65,DEBIT
B0078,2026-08-15,HOOD LLC reinvent integrated e-services,10753.73,USD,0092E505,DEBIT
B0079,2026-07-15,CHAVEZ-WIL maximize B2C convergence,6075.66,USD,149FFA4B,DEBIT
B0080,2026-08-14,SMITH LTD re-contextualize clicks-and-mortar infrastructures,5369.62,USD,ABB81432,DEBIT
B0081,2026-08-02,BRADLEY IN architect virtual applications,8655.95,USD,3B867DB9,DEBIT
B0082,2026-07-25,MCGRATH-BR target out-of-the-box synergies,1296.12,USD,FADCE953,DEBIT
B0083,2026-08-18,LAM AND SO streamline user-centric relationships,1278.33,USD,773DA364,DEBIT
B0084,2026-07-17,MCNEIL AND exploit compelling web services,14326.82,USD,1CB0F186,DEBIT
B0085,2026-07-20,HOOD LLC iterate cross-media web services,1772.43,USD,D6C3FFD9,DEBIT
B9999, 2026-09-03, "TOTAL NONSENSE VENDOR", 99999.99, USD, REF123, DEBIT
B0086,2026-08-15,PERRY LLC streamline turn-key methodologies,4340.28,USD,C10514BB,DEBIT
B0087,2026-08-05,SHORT-REYN orchestrate innovative bandwidth,2407.82,USD,6FE90BD6,DEBIT
B0088,2026-07-19,SHORT-REYN benchmark bleeding-edge e-business,11993.2,USD,9D6F3841,DEBIT
B0089,2026-07-12,DANIELS-CA reinvent frictionless platforms,7017.1,USD,1B1477F9,DEBIT
B0090,2026-08-06,DIGITALOCE transition strategic schemas,3192.44,USD,71D71D6C,DEBIT
B0091,2026-07-20,HOOD LLC incubate intuitive web services,4703.17,USD,26D2A6D0,DEBIT
B0092,2026-07-21,FOLEY-HERN orchestrate ubiquitous content,7839.83,USD,43DC8F0F,DEBIT
B0093,2026-07-06,CLARK GROU harness open-source partnerships,11311.5,USD,4C8185B5,DEBIT
B0094,2026-06-29,HUGHES-PIE integrate visionary networks,14152.71,USD,1E745243,DEBIT
B0095,2026-08-17,DAVIS LLC expedite next-generation architectures,4751.01,USD,F034C25D,DEBIT
B0096,2026-07-28,"WILLIAMS,  leverage seamless content",5017.35,USD,1F1610B9,DEBIT
B0097,2026-07-10,WALLACE-CO repurpose front-end models,9175.12,USD,5392AC97,DEBIT
B0098,2026-08-13,SHORT-REYN extend user-centric metrics,7501.31,USD,A071DB13,DEBIT
B0099,2026-07-16,DANIELS-CA re-intermediate distributed partnerships,2059.1,USD,AE36BCB9,DEBIT
B0100,2026-07-23,MATA PLC engage one-to-one e-commerce,9766.15,USD,BCC7B4D6,DEBIT
B0101,2026-08-22,SHORT-REYN implement scalable ROI,10372.78,USD,362E140E,DEBIT
B0102,2026-08-12,"CARROLL, J matrix magnetic web-readiness",10101.44,USD,1AEE2399,DEBIT
B0103,2026-07-28,WOOD-SHELT scale bleeding-edge web-readiness,7917.05,USD,4B33DE49,DEBIT
B0104,2026-07-05,CLARK GROU transition granular interfaces,4665.76,USD,A7F05D2B,DEBIT
B0105,2026-07-06,AMAZON WEB synthesize back-end markets,6849.29,USD,F450D102,DEBIT
B0106,2026-07-09,MCNEIL AND e-enable global metrics,5859.17,USD,30768063,DEBIT
B0107,2026-07-02,"REYNOLDS,  benchmark dynamic eyeballs",8616.14,USD,77B6004C,DEBIT
B0108,2026-07-28,DAVIS LLC target holistic eyeballs,7915.12,USD,4FEFB229,DEBIT
B0109,2026-07-14,MCGRATH-BR deliver open-source mindshare,11050.15,USD,7216B4CE,DEBIT
B0110,2026-08-20,CHAVEZ-WIL extend compelling networks,475.52,USD,A004EE1C,DEBIT
B0111,2026-08-03,"HALL, NELS redefine back-end metrics",11801.25,USD,C62F1784,DEBIT
B0112,2026-07-18,MCNEIL AND innovate synergistic technologies,7733.4,USD,D41B1DFA,DEBIT
B0113,2026-07-25,JONES AND  iterate viral infrastructures,4563.8,USD,6A8998B6,DEBIT
B0114,2026-07-11,"HALL, NELS synergize 24/365 mindshare",2048.64,USD,F7A894D1,DEBIT
B0115,2026-07-27,HESS-HAMIL facilitate front-end functionalities,12742.55,USD,53283760,DEBIT
B0116,2026-06-30,MCNEIL AND matrix best-of-breed channels,5590.27,USD,AAD46CED,DEBIT
B0117,2026-07-23,"BOWMAN, MO synergize wireless e-commerce",14878.98,USD,3D97CC76,DEBIT
B0118,2026-07-19,"FERNANDEZ, enhance revolutionary paradigms",7711.76,USD,4649D364,DEBIT
B0119,2026-07-04,ELLIOTT PL maximize synergistic ROI,5736.51,USD,EE628DDA,DEBIT
B0120,2026-07-29,"LEE, AYALA revolutionize intuitive functionalities",9183.63,USD,257AC1F6,DEBIT
B0121,2026-08-01,AMAZON WEB synergize virtual platforms,5678.03,USD,BE4877D8,DEBIT
B0122,2026-07-08,DANIELS-CA synergize magnetic web services,2710.49,USD,1AF95F78,DEBIT
B0123,2026-08-18,"LOWE, CARR utilize magnetic communities",14699.01,USD,6C2A8D84,DEBIT
B0124,2026-08-04,"BOWMAN, MO synthesize 24/7 methodologies",7393.66,USD,C16B9EEB,DEBIT
B0125,2026-07-06,CRUZ AND S unleash interactive e-tailers,12262.04,USD,668DAAA3,DEBIT
B0126,2026-08-03,"CURRY, MCC facilitate enterprise e-business",14242.47,USD,650EB553,DEBIT
B0127,2026-08-14,FOLEY-HERN orchestrate distributed markets,2269.37,USD,FF86422B,DEBIT
B0128,2026-07-09,MICROSOFT  transition holistic deliverables,6349.32,USD,AD7AD4B6,DEBIT
B0129,2026-07-04,CALDERON I incubate dot-com ROI,3991.92,USD,DBBD7491,DEBIT
B0130,2026-08-20,PERRY LLC incubate clicks-and-mortar relationships,8576.92,USD,A468A0A5,DEBIT
B0131,2026-07-15,BARAJAS-TA envisioneer holistic vortals,9458.58,USD,46C95B43,DEBIT
B0132,2026-07-02,PERRY LLC expedite robust bandwidth,7422.14,USD,AFC3AE8F,DEBIT
B0133,2026-07-27,"BOWMAN, MO transition strategic e-commerce",12518.62,USD,841F0881,DEBIT
B0134,2026-07-07,HUGHES-PIE empower killer methodologies,5281.49,USD,E9C33069,DEBIT
B0135,2026-07-18,MATA PLC leverage real-time partnerships,892.65,USD,206AC031,DEBIT
B0136,2026-07-29,DANIELS-CA optimize best-of-breed web services,7789.22,USD,3BA5FB1B,DEBIT
B0137,2026-07-04,GOMEZ-LONG empower bricks-and-clicks models,6577.99,USD,F19BA870,DEBIT
B0138,2026-07-08,EDWARDS-CA iterate open-source platforms,6672.59,USD,72856FE6,DEBIT
B0139,2026-08-16,"FERNANDEZ, e-enable B2C vortals",7934.9,USD,99DB712E,DEBIT
B0140,2026-08-12,JONES AND  revolutionize revolutionary ROI,603.54,USD,A0B6E88E,DEBIT
B0141,2026-06-28,"CURRY, MCC disintermediate extensible bandwidth",10787.55,USD,9BE5765A,DEBIT
B0142,2026-07-03,GOOGLE CLO transform holistic info-mediaries,8793.01,USD,B1A513EE,DEBIT
B0143,2026-07-09,CALDERON I transition visionary technologies,12926.72,USD,FD68536F,DEBIT
B0144,2026-08-21,GOMEZ-LONG synergize end-to-end e-business,13964.8,USD,46BC6518,DEBIT
B0145,2026-06-28,RODRIGUEZ- seize distributed architectures,10209.4,USD,4738FFE2,DEBIT
B0146,2026-08-07,"WILLIAMS,  disintermediate next-generation portals",9538.13,USD,EA4B2D4B,DEBIT
B0147,2026-08-13,HUGHES-PIE empower transparent deliverables,1077.38,USD,5497A702,DEBIT
B0148,2026-07-13,MICROSOFT  synthesize collaborative infrastructures,6849.82,USD,BDC2DF49,DEBIT
B0149,2026-08-14,DIGITALOCE unleash web-enabled interfaces,12764.28,USD,45EA7703,DEBIT
